"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"115",0,0,-1,0,0,0,0,0,0,0
"116",0,-1,-1,0,0,0,0,0,0,0
"117",0,-1,-1,0,0,0,0,0,0,0
"118",0,0,-1,0,-1,0,0,0,0,0
"119",0,-1,-1,0,-1,0,-1,0,-1,0
"120",0,-1,-1,0,-1,0,-1,0,0,0
"121",-1,-1,-1,0,-1,0,-1,0,0,0
"122",-1,-1,-1,0,-1,0,-1,0,0,-1
"123",-1,-1,-1,-1,-1,0,-1,-1,0,-1
"124",-1,-1,-1,-1,0,0,-1,-1,0,-1
"125",0,-1,-1,0,0,1,-1,0,0,-1
"126",-1,-1,-1,-1,0,0,-1,0,0,-1
"127",-1,-1,-1,0,0,0,-1,0,0,-1
"128",-1,-1,0,0,0,0,-1,0,-1,0
"129",0,-1,0,0,0,0,-1,1,-1,0
"130",-1,-1,-1,0,0,0,-1,0,-1,0
"131",-1,-1,-1,0,0,0,-1,0,-1,0
"132",-1,-1,-1,0,0,0,-1,0,-1,0
"133",-1,-1,-1,0,0,0,0,0,0,0
"134",-1,-1,-1,0,0,0,0,0,0,0
"135",-1,0,-1,0,0,0,0,0,-1,0
"136",-1,-1,-1,0,0,0,0,0,0,0
"137",0,-1,-1,-1,0,0,0,0,-1,0
"138",0,0,0,0,0,0,0,0,-1,0
"139",0,0,0,0,0,0,1,0,-1,0
"140",0,0,0,0,0,0,1,0,-1,0
"141",0,0,0,0,0,0,0,0,-1,0
"142",0,0,0,0,0,0,1,0,-1,0
"143",0,0,0,0,1,0,1,0,0,0
"144",0,0,0,0,1,1,1,0,0,0
"145",0,0,0,0,1,1,1,0,0,0
"146",0,0,0,0,1,0,1,0,0,0
"147",0,0,0,0,1,1,0,0,0,0
"148",1,0,0,0,1,1,1,0,0,0
"149",1,0,0,0,1,1,1,0,0,0
"150",1,0,0,0,1,1,1,1,0,0
"151",1,1,0,0,1,1,1,1,0,0
"152",0,1,0,0,1,1,1,1,0,0
"153",0,0,0,0,1,1,1,1,0,0
"154",0,0,0,0,1,1,1,1,0,0
"155",0,0,0,1,1,1,1,1,0,0
"156",0,0,0,1,1,1,1,1,0,0
"157",1,0,0,0,1,1,1,1,0,0
"158",0,1,0,0,1,1,1,1,0,0
"159",1,0,1,0,1,1,1,1,0,0
"160",1,0,1,1,1,1,1,1,0,0
"161",1,0,1,1,1,1,1,1,1,1
"162",0,0,1,0,0,1,1,1,0,0
"163",0,0,1,0,0,1,1,1,0,0
"164",0,0,1,0,0,0,0,0,1,1
"165",0,0,0,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0
